Facility,Health authority,Regulation/Legislation,Street address,City/postal code,Accreditation status,Accreditation expiry date,Phone number,Operator (name),Phone number of complaint contact,Opened,Current language(s) spoken by staff,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Case mix index Facility,Case mix index B.C.
Mountainview Lodge - Kitimat General Hospital,Northern Health,Hospital Act,920 Lahakas Blvd. S,Kitimat V8C2S3,Accredited,June 2022,(250) 632-8357,Northern Health,(250) 632-8337,2002,"English, Portuguese, Tagalog, Punjabi",0,36,36,32,2,0,0.62,0.58
Northern Haida Gwaii Hospital and Health Centre,Northern Health,Hospital Act,2520 Harrison Avenue,Masset V0T1M0,Accredited,June 2022,(250) 626-4700,Northern Health,(250) 626-4726,2008,English,0,5,5,4,0,0,suppressed,0.58
Parkside Care,Northern Health,Community Care & Assisted Living Act,788 Ospika Boulevard,Prince George V2M6Y2,Accredited,June 2022,(250) 563-1916,Northern Health,(250) 645-6425,1983,"English, French, Ukrainian, Punjabi, Serbian, Croatian",0,58,58,58,0,0,0.57,0.58
Peace Villa,Northern Health,Community Care & Assisted Living Act,8407 112 Avenue,Fort St John V1J0J5,Accredited,June 2022,(250) 774-8100,Northern Health,(250) 261-7451,2012,English,0,124,124,124,0,0,0.57,0.58
Rainbow Lodge,Northern Health,Community Care & Assisted Living Act,1000 Liard Drive,Prince George V2M3Z3,Accredited,June 2022,(250) 645-6497,Northern Health,(250) 645-6425,2012,"English, Ukrainian, French, Punjabi",0,18,18,19,0,0,0.50,0.58
Rotary Manor,Northern Health,Community Care & Assisted Living Act,1121 90th Avenue,Dawson Creek V1G5A3,Accredited,June 2022,(250) 719-3480,Northern Health,(250) 719-3488,2002,"English, Filipino, German, Malayalam, Hungarian, Spanish",0,115,115,115,0,0,0.56,0.58
Simon Fraser Lodge,Northern Health,Hospital Act,2410 Laurier Cres.,Prince George V2M2B3,Accredited,October 2019,(250) 563-3413,Buron Healthcare,(250) 563-3413 x 102,1986,English,0,130,130,130,0,0,0.52,0.58
Stuart Nechako Manor,Northern Health,Community Care & Assisted Living Act,3277 Hospital Road,Vanderhoof V0J3A2,Accredited,June 2022,(250) 567-2013,Northern Health,(250) 567-6282,2005,English,0,53,53,45,4,0,0.57,0.58
Stuart Lake Hospital,Northern Health,Hospital Act,600 Stuart Drive E,Fort St. James V0J1P0,Accredited,June 2022,(250) 996-8201,Northern Health,(250) 996-8201x2286,1972,"English, Carrier",0,6,6,6,0,0,0.48,0.58
Terraceview Lodge,Northern Health,Community Care & Assisted Living Act,4707 Kerby Avenue,Terrace V8G2W2,Accredited,June 2022,(250) 631-4209,Northern Health,(250) 631-4180 / (250) 631-4188,1984,"English, Polish, Filipino, German, Vietnamese, Portuguese, French",0,99,99,95,0,0,0.56,0.58
The Pines,Northern Health,Hospital Act,800 Centre St.,Burns Lake V0J1E0,Accredited,June 2022,(250) 692-2490,Northern Health,(250) 692-2494,1992,"English, French, Carrier, Low German, Mandarin",0,36,36,26,5,0,0.53,0.58
Wrinch Memorial Hospital,Northern Health,Hospital Act,2510 West Hwy 62,Hazelton V0J1Y0,Accredited,June 2022,(250) 842-5211,Northern Health,(250) 842-4641,1977,"English, Gitxsan",0,10,10,1,5,0,0.52,0.58
Adanac Park Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,851 Boundary Road,Vancouver V5K4T2,Not Accredited,not applicable,(604) 299-7567,Little Mountain Residential Care and Housing Society,(604) 299-7567x345,2000,"English, Tagalog, Mandarin, Cantonese, Punjabi, French",0,73,73,67,3,0,0.49,0.58
Arbutus Care Centre,Vancouver Coastal Health,Hospital Act,4505 Valley Drive,Vancouver V6L2L1,Accredited,May 2020,(604) 261-4292,Revera Long Term Care Inc.,(604) 261-4292,1986,"Albanian, Amharic, Arabic, Bikol, Cantonese, Cebuano, Cree, Farsi, Fijian, French, German, Hindi, Ibanag, Igbo, Ilocano, Italian, Itawis, Japanese, Kapampangan, Korean, Madi, Mandarin, Nepali, Oromo, Punjabi, Serbian, Spanish, Swahili, Tagalog, Taishanese, Tigrinya, Urdu, Waray",4,152,156,58,49,0,0.55,0.58
Banfield Pavilion - Vancouver General Hospital,Vancouver Coastal Health,Hospital Act,2785 Ash Street,Vancouver V5Z1M9,Accredited,September 2020,(604) 875-4111,Vancouver Coastal Health,(604) 875-4111x68957,1972,"English, French, Mandarin, Japanese, Cantonese, Punjabi, Hindi, Tagalog, Swahili",0,156,156,17,13,36,0.64,0.58
Bella Coola General Hospital,Vancouver Coastal Health,Hospital Act,1025 Elcho Street,Bella Coola V0T1C0,Accredited,September 2020,(250) 799-5311,Vancouver Coastal Health,(250) 799-5311,1980,English,0,5,5,5,0,0,suppressed,0.58
Berkley Care Centre,Vancouver Coastal Health,Community Care & Assisted Living Act,2444 Burr Place,North Vancouver V7H3A5,Accredited,September 2020,(604) 924-8300,Vancouver Coastal Health,(604) 924-8356,1998,"English, Farsi, Tagalog, French, Spanish, Korean, Polish, Taiwanese, Greek, Italian, Cantonese, Vietnamese, Malay",0,177,177,159,9,0,0.58,0.58
Blenheim Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,3263 Blenheim Street,Vancouver V6L2X7,Not Accredited,not applicable,(604) 732-8717,Calling Foundation,(604) 732-8717,1969,"English, Tagalog, Cantonese, Mandarin, Punjabi, Hindi, Hungarian, Greek, Spanish, Russian, German, Ukranian",6,94,100,65,17,0,0.60,0.58
Berkley Care Centre - Special Unit,Vancouver Coastal Health,Community Care & Assisted Living Act,2444 Burr Place,North Vancouver V7H3A5,Accredited,September 2020,(604) 924-8300,Vancouver Coastal Health,(604) 924-8356,1998,"English, Tagalog, Spanish, Korean, Cantonese, Mandarin, Greek, Romanian, Khmer, Gujarati, Slovene, Hindi, Punjabi, Serbian, Bengali, Polish, Russian, Italian",0,12,12,12,0,0,0.53,0.58
Braddan Private Hospital,Vancouver Coastal Health,Hospital Act,2450 West 2nd Ave,Vancouver V6K1J6,Not Accredited,not applicable,(604) 731-2127,The Care Group,(604) 731-2121x3,1979,"English, Spanish, Tagalog, Mandarin, Cantonese, Vietnamese, French, Greek, Polish",2,60,62,22,20,0,0.54,0.58
Broadway Pentecostal Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,1377 Lamey's Mill Rd,Vancouver V6H3S9,Not Accredited,not applicable,(604) 733-1441,Broadway Pentecostal Care Association,(604) 733-1441 x 236,1981,"Punjabi, Tagalog, Vietnamese, Mandarin, Cantonese, Yoruba, Spanish, German, Polish, Farsi, Fant Ashanti, Serbian, French, Hindi",0,114,114,114,0,0,0.53,0.58
Capilano Care Centre,Vancouver Coastal Health,Hospital Act & Community Care & Assisted Living Act,525 Clyde Avenue,West Vancouver V7T1C4,Accredited,May 2020,(604) 926-6856,Revera Long Term Care Inc.,(604) 926-6856 #337,1992,"Farsi, Russian, Arabic, Cantonese, Mandarin, Hindi, German, Cree, Korean, Kutchi, Sureth, Filipino, French",0,205,205,76,48,11,0.56,0.58
Cedarview Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,1200 Cedar Village Close,North Vancouver V7J3P3,Accredited,September 2020,(604) 904-6400,Vancouver Coastal Health,(604) 904-6404,1982,"English, Farsi, Tagalog, Korean, Polish, Mandarin, Japanese, Russian, Cantonese",0,89,89,89,0,0,0.54,0.58
Central City Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,415 West Pender St,Vancouver V6B1V2,Not Accredited,not applicable,(604) 681-9111,City Centre Care Society,(604) 639-8230,1993,"English, French, Spanish, Farsi, Hindi, Japanese, Korean, Mandarin, Cantonese, Vietnamese, Tagalog, Punjabi, Greek",0,100,100,84,8,0,0.54,0.58
Christenson Village,Vancouver Coastal Health,Community Care & Assisted Living Act,585 Shaw Road,Gibsons V0N1V8,Accredited,2019,(604) 886-8747,The Good Samaritan Society,(604) 886-8747x21222,2006,"English, Tagalog, French, Spanish",0,80,80,80,0,0,0.57,0.58
Columbus Residence,Vancouver Coastal Health,Community Care & Assisted Living Act,704 West 69th Avenue,Vancouver V6P2W3,Accredited,March 2021,(604) 321-4405,Columbus Long Term Care Society,(604) 321-4405,1990,"English, Cantonese, Mandarin, Hindi, Korean, Tagalog, French, Spanish, Dutch",0,76,76,74,1,0,0.54,0.58
Dogwood Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,500 West 57th Avenue,Vancouver V6P6E8,Accredited,September 2020,(604) 324-6882,Vancouver Coastal Health,(604) 324-6882x235,1979,"English, Cantonese, Mandarin, Punjabi, Tagalog, Japanese, Spanish",0,83,83,83,0,0,0.54,0.58
Evergreen House - Lions Gate Hospital,Vancouver Coastal Health,Hospital Act,231 East 15th Street,North Vancouver V7L2L7,Accredited,September 2020,(604) 984-5811,Vancouver Coastal Health,(604) 984-5927,1971,"English, Farsi, Tagalog, Cantonese, Russian, Mandarin, German",0,289,289,22,11,60,0.61,0.58
Evergreen Extended Care - Powell River Hospital,Vancouver Coastal Health,Hospital Act,4970 Joyce Ave.,Powell River V8A5P2,Accredited,September 2020,(604) 485-2208,Vancouver Coastal Health,(604) 485-3237,1980,"English, Dutch, Russian, Italian, Filipino, French",0,75,75,6,4,15,0.58,0.58
Fair Haven - Vancouver,Vancouver Coastal Health,Community Care & Assisted Living Act,2720 East 48th Ave.,Vancouver V5S1G7,Accredited,November 2022,(604) 433-2939,Fair Haven United Church Homes Society,(604) 433-2939x2232 or x2222,1979,n/a,0,82,82,70,6,0,0.59,0.58
Fair Haven - Vancouver - Special Unit,Vancouver Coastal Health,Community Care & Assisted Living Act,2720 East 48th Ave.,Vancouver V5S1G7,Accredited,November 2022,(604) 433-2939,Fair Haven United Church Homes Society,(604) 433-2939x2232 or x2222,1979,n/a,0,19,19,19,0,0,0.54,0.58
Finnish Home,Vancouver Coastal Health,Community Care & Assisted Living Act,2288 Harrison Drive,Vancouver V5P2P6,Not Accredited,not applicable,(604) 325-8241,Finnish Canadian Rest Home Association,(604) 325-8241,1979,"Finnish, English, Bosnian, Tagalog, Mandarin, Polish, Italian, Punjabi, Japanese, Taiwanese, Farsi, Dutch, Swedish",0,64,64,64,0,0,0.59,0.58
Fraserview,Vancouver Coastal Health,Community Care & Assisted Living Act,9580 Williams Road,Richmond V7A1H2,Accredited,November 2022,(604) 274-3510,Kaigo Senior Living Group,(604) 274-3510,1992,"English, German, Ukrainian, Polish, Punjabi, Tagalog, Mandarin, Cantonese",0,101,101,33,37,0,0.57,0.58
George Pearson Centre,Vancouver Coastal Health,Hospital Act,700 West 57th Ave.,Vancouver V6P1S1,Accredited,September 2020,(604) 321-3231,Vancouver Coastal Health,(604) 322-8308,1952,"English, Spanish, Mandarin, Cantonese, Hindi, Tagalog, French, Punjabi",0,114,114,54,13,7,0.89,0.58
German Canadian Care Home,Vancouver Coastal Health,Community Care & Assisted Living Act,2010 Harrison Drive,Vancouver V5P2P6,Accredited,2020,(604) 713-6500,German Canadian Benevolent Society,(604) 713-6503,1979,"English, German, Polish, Hungarian, Mandarin, Cantonese, Tagalog, Farsi, Romanian, Bulgarian, Japanese, Russian, Punjabi",0,132,132,76,29,0,0.52,0.58
Haro Park Centre,Vancouver Coastal Health,Community Care & Assisted Living Act,1233 Haro Street,Vancouver V6E3Y5,Unknown,not available,(604) 687-5584,Haro Park Centre Society,(604) 687-5584x224,1980,"English, French, Dutch, Mandarin, Japanese",0,154,154,154,0,0,0.52,0.58
Hilltop House,Vancouver Coastal Health,Community Care & Assisted Living Act,38146 Behrner Drive,Squamish V8B0C8,Accredited,September 2020,(604) 892-9337,Vancouver Coastal Health,(604) 892-6020,1984,"English, French, Dutch, Russian, Portuguese, Squamish, Punjabi, Tagalog, Swahili, Japanese, Hungarian, Farsi, Spanish, German, Arabic, Danish",0,86,86,82,2,0,0.56,0.58
Holy Family Hospital,Vancouver Coastal Health,Hospital Act,7801 Argyle St.,Vancouver V5P3L6,Accredited,November 2021,(604) 321-2661,Providence Health Care Society,(604) 322-2650,1947,"English, Punjabi, Hindi, Cantonese, Italian, Mandarin, Czech, Polish, Tagalog, French, Greek, Spanish, Dutch, German, Croatian",0,126,126,9,6,21,0.62,0.58
Inglewood Care Centre,Vancouver Coastal Health,Hospital Act & Community Care & Assisted Living Act,725 Inglewood Avenue,West Vancouver V7T1X5,Unknown,not available,(604) 922-9394,Unicare,(604) 913-4703,1979,"English, Tagalog, Ilocano, Farsi, Cantonese",0,230,230,196,17,0,0.54,0.58
Kopernik Lodge,Vancouver Coastal Health,Community Care & Assisted Living Act,3150 Rosemont Drive,Vancouver V5S2C9,Not Accredited,not applicable,(604) 438-2474,M. Kopernik (Nicolaus Copernicus) Foundation,(604) 438-2474x233,1979,"English, Serbian, Punjabi, Polish, Czech, Filipino, Russian, Spanish, Croatian, Cantonese",0,87,87,45,21,0,0.59,0.58
Lakeview Care Centre,Vancouver Coastal Health,Hospital Act,3490 Porter Street,Vancouver V5N5W4,Accredited,May 2020,(604) 874-2803,Revera Long Term Care Inc.,(604) 874-2803x2228 / (604) 874-2803x2321,1993,"English, Cantonese, Mandarin, Korean, Tagalog, Hindi, Spanish, Vietnamese",0,177,177,105,36,0,0.56,0.58
Little Mountain Place,Vancouver Coastal Health,Community Care & Assisted Living Act,330 East 36th Avenue,Vancouver V5W3Z4,Not Accredited,not applicable,(604) 325-2298,Little Mountain Residential Care and Housing Society,(604) 325-2298,1987,"Tagalog, English, French, Cantonese, Mandarin, Italian, Punjabi, Japanese, Korean",0,117,117,117,0,0,0.53,0.58
Louis Brier Home and Hospital,Vancouver Coastal Health,Hospital Act & Community Care & Assisted Living Act,1055 West 41st Ave,Vancouver V6M1W9,Accredited,May 2022,(604) 261-9376,Jewish Home for the Aged of BC,(604) 267-4698,1979,"English, Hebrew, Tagalog, Mandarin, Hungarian, Russian, French, Romanian",0,215,215,149,33,0,0.58,0.58
Lynn Valley Care Centre,Vancouver Coastal Health,Hospital Act & Community Care & Assisted Living Act,"1070 Lynn Valley Rd, North",North Vancouver V7J1Z8,Accredited,October 2019,(604) 988-4181,North Shore Private Hospital (1985) Ltd,(604) 982-3700 / (604) 982-3712,1985,"English, French, Spanish, German, Polish, Farsi, Punjabi, Tagalog",62,139,201,178,13,0,0.56,0.58
Minoru Residence,Vancouver Coastal Health,Hospital Act,7333 Gollner Avenue,Richmond V6Y0J1,Accredited,September 2020,(604) 244-5300,Vancouver Coastal Health,(604) 244-5307,1993,"English, German, Punjabi, Hindi, Cantonese, Mandarin, Tagalog, Russian, French, Japanese, Polish, Gujarati",0,250,250,70,90,0,0.60,0.58
Mount Saint Joseph Hospital,Vancouver Coastal Health,Hospital Act,3080 Prince Edward Street,Vancouver V5T3N4,Accredited,November 2021,(604) 874-1141,Providence Health Care Society,(604) 877-8520 / (604) 877-8541/ (604) 877-8542/(604) 806-8264,2004,"English, Tagalog, Punjabi, Hindi, Cantonese, Mandarin, Polish",0,99,99,16,8,17,0.62,0.58
Point Grey Private Hospital,Vancouver Coastal Health,Hospital Act,2423 Cornwall Avenue,Vancouver V6K1B9,Not Accredited,not applicable,(604) 733-7133,The Care Group,(604) 733-7133,1979,"English, Tagalog",5,67,72,31,20,0,0.59,0.58
Pinegrove Place,Vancouver Coastal Health,Community Care & Assisted Living Act,11331 Mellis Drive,Richmond V6X1L8,Accredited,November 2021,(604) 278-1296,Mennonite Care Home Society of Richmond,(604) 278-1296,1983,"English, Tagalog, Mandarin, Cantonese, Fukienese, Hakka (Chinese), Teo-Swa, Malaysian, German, French, Spanish, Hindi, Punjabi, Tigrinia, Amharic, Shanghainese",0,76,76,76,0,0,0.59,0.58
Purdy Pavilion - UBC Hospital,Vancouver Coastal Health,Hospital Act,2221 Wesbrook Mall,Vancouver V6T1Z9,Accredited,September 2020,(604) 822-7121,Vancouver Coastal Health,(604) 822-7289,1977,English,0,199,199,23,0,60,0.62,0.58
R. W. Large Memorial Hospital,Vancouver Coastal Health,Hospital Act,88 Waglisla Street,Bella Bella V0T1Z0,Accredited,September 2020,(250) 957-2314,Vancouver Coastal Health,(250) 957-2314x231,1980,English,0,7,7,7,0,0,suppressed,0.58
Richmond Lions Manor,Vancouver Coastal Health,Community Care & Assisted Living Act,9020 Bridgeport Road,Richmond V6X1S1,Accredited,September 2020,(604) 675-2590,Vancouver Coastal Health,(604) 366-3786,2014,"English, Cantonese, Mandarin, Tagalog, Spanish, Punjabi, Hindi, French, Italian, Korean, Japanese",0,93,93,49,22,0,0.61,0.58
Renfrew Care Centre,Vancouver Coastal Health,Community Care & Assisted Living Act,1880 Renfrew Street,Vancouver V5M3H9,Accredited,February 2022,(604) 255-7723,Retirement Concepts,(604) 216-2330,1996,"English, French, Cantonese, Mandarin, Spanish, Hindi, Vietnamese, Tagalog, Punjabi, Sinhala",0,106,106,86,10,0,0.57,0.58
Rosewood Manor,Vancouver Coastal Health,Community Care & Assisted Living Act,6260 Blundell Rd,Richmond V7C5C4,Not Accredited,not applicable,(604) 271-3590,Richmond Intermediate Care Society,(604) 271-3590 x 123,1982,"English, Arabic, Ukrainian, Spanish, Shanghainese, Russian, Punjabi, Mandarin, Korean, Hindi, Gujarati, Filipino, Cantonese",0,151,151,151,0,0,0.50,0.58
Royal Arch Masonic Home,Vancouver Coastal Health,Community Care & Assisted Living Act,7850 Champlain Cresc,Vancouver V5S4C7,Not Accredited,not applicable,(604) 437-7343,Royal Arch Masonic Homes Society,(604) 412-2451,1982,"English, Hindi, Punjabi, Tagalog, Cantonese, Spanish, Mandarin",0,151,151,151,0,0,0.54,0.58
Royal Ascot Care Centre,Vancouver Coastal Health,Hospital Act,2455 East Broadway,Vancouver V5M1Y1,Not Accredited,not applicable,(604) 254-5559,Royal Ascot Care Centre Ltd.,(604) 254-5559x228,1995,"English, Punjabi, Tagalog, Cantonese, Vietnamese",2,80,82,64,9,0,0.56,0.58
Shorncliffe,Vancouver Coastal Health,Community Care & Assisted Living Act,5847 Medusa Street,Sechelt V0N3A0,Accredited,September 2020,(604) 885-5126,Vancouver Coastal Health,(604) 885-5126x223 / (604) 989-0669,1983,"German, Tagalog, French",0,59,59,59,0,0,0.53,0.58
Simon K.Y. Lee Seniors Care Home,Vancouver Coastal Health,Community Care & Assisted Living Act,555 Carrall Street,Vancouver V6B2J8,Unknown,not available,(604) 608-8800,S.U.C.C.E.S.S. Multi-Level Care Society,(604) 608-8810,2001,"English, Cantonese, Mandarin",4,110,114,104,5,0,0.55,0.58
St. Jude's Anglican Home,Vancouver Coastal Health,Community Care & Assisted Living Act,810 West 27th Avenue,Vancouver V5Z2G7,Not Accredited,not applicable,(604) 874-3200,St. Jude's Anglican Home,(604) 874-3200x242 / (604) 874-3200x227,1979,"English, Spanish, Tagalog, French Russian, Hungarian, Cantonese, Mandarin, Ukrainian",2,53,55,45,5,0,0.58,0.58
St. Vincent's - Brock Fahrni Pavilion,Vancouver Coastal Health,Hospital Act,4650 Oak St.,Vancouver V6H4J4,Accredited,November 2021,(604) 806-9710,Providence Health Care Society,(604) 806-9705,1980,"English, Cantonese, Mandarin, Punjabi, Tagalog",0,148,148,12,8,30,0.59,0.58
St. Vincent's - Langara,Vancouver Coastal Health,Hospital Act,255 W 62nd Ave,Vancouver V5X4V4,Accredited,November 2021,(604) 325-4116,Providence Health Care Society,(604) 806-9755,1991,"English, Hindi, Croatian, French, Punjabi, Italian, Mandarin, Spanish, Portuguese, Cantonese, Tagalog, Vietnamese",0,197,197,17,8,41,0.61,0.58
Three Links Care Centre,Vancouver Coastal Health,Community Care & Assisted Living Act,2934 East 22nd Ave,Vancouver V5M2Y4,Accredited,October 2022,(604) 434-7211,Three Links Care Society,(778) 452-6503,1981,"English, Tagalog, Punjabi, Hindi, Cantonese, Italian, Polish, Portuguese, Farsi, Hokkien, Russian, Spanish, Swedish, Ukrainian",0,90,90,90,0,0,0.59,0.58
Totem Lodge - Sechelt Hospital,Vancouver Coastal Health,Hospital Act,5544 Sunshine Coast Highway,Sechelt V0N3A0,Accredited,September 2020,(604) 885-8602,Vancouver Coastal Health,(604) 885-8602,1988,"French, Tagalog",0,49,49,3,3,10,0.59,0.58
Villa Cathay Care Home,Vancouver Coastal Health,Community Care & Assisted Living Act,970 Union Street,Vancouver V6A3V1,Not Accredited,not applicable,(604) 254-5621,Villa Cathay Care Society,(604) 254-5621,1979,"English, Cantonese, Mandarin",4,130,134,112,19,0,0.53,0.58
Villa Carital,Vancouver Coastal Health,Community Care & Assisted Living Act,3050 Penticton St,Vancouver V5M4W2,Not Accredited,not applicable,(604) 434-0995,Carital Continuing Care Society,(604) 412-5104 / (604) 412-5109,1996,"Italian, English, Tagalog, Spanish, Punjabi, German, Cantonese, Mandarin",5,76,81,60,12,0,0.61,0.58
West Vancouver Care Centre,Vancouver Coastal Health,Hospital Act,1675 27th Street,West Vancouver V7V4K9,Unknown,not available,(604) 925-1247,Optima Living Communities,(604) 925-1247,1987,"English, Romanian, Polish, Tagalog, Spanish, Portuguese, Punjabi, Hindi",3,75,78,23,16,7,0.58,0.58
Windermere Care Centre,Vancouver Coastal Health,Community Care & Assisted Living Act,900 West 12th Avenue,Vancouver V5Z1N3,Not Accredited,not applicable,(604) 736-8676,Windemere Care Center Inc.,(604) 737-5474,1992,"Romanian, German, Arabic, Japanese, Italian, Polish, Ukrainian, Greek, English, Cantonese, Mandarin, Fijian, Hindi, Spanish, Amharic, Vietnamese, Tagalog, Indonesian, Dutch, Tongan, French, Farsi, Korean, Malay, Portuguese, Punjabi, Russian",6,204,210,170,22,0,0.54,0.58
Willingdon Creek Village,Vancouver Coastal Health,Community Care & Assisted Living Act,4980 Kiwanis Drive,Powell River V8A5H5,Accredited,September 2020,(604) 485-9868,Vancouver Coastal Health,(604) 485-9868,2015,"English, Dutch, Swedish, Filipino, French, German",0,102,102,102,0,0,0.55,0.58
Youville Residence,Vancouver Coastal Health,Community Care & Assisted Living Act,4950 Heather Street,Vancouver V5Z3L9,Accredited,November 2021,(604) 261-9371,Providence Health Care Society,(604) 806-9540,1979,"English, Hindi, Punjabi, Tagalog, Spanish, Cantonese, Mandarin, Italian, Portuguese, Taiwanese, French",0,42,42,42,0,0,0.59,0.58
Yaletown House,Vancouver Coastal Health,Community Care & Assisted Living Act,1099 Cambie Street,Vancouver V6B5A8,Not Accredited,not applicable,(604) 689-0022,Yaletown House Society,(604) 806-4202,1985,"English, Tagalog, Cantonese, French, Spanish, Mandarin, German, Hindi, Russian, Korean, Serbian",0,127,127,127,0,0,0.52,0.58
